query_type,query,rank_from,rank_to,results_in_bucket,semantic_score_max,semantic_score_mean,semantic_score_median,semantic_score_min,semantic_ratio_mean,semantic_ratio_median,keyword_score_max,keyword_score_mean,keyword_score_median,keyword_score_min,keyword_ratio_mean,keyword_ratio_median,strict_retained,balanced_retained,permissive_retained
natural_language,Sydney public transport passenger data,26,50,25,0.6340675950050354,0.6044019508361816,0.6142551898956299,0.5493520498275757,0.8512471537459071,0.865124577028425,0.2126775085926056,0.06487624622881412,0.04570809751749039,0.013650918379426003,0.2566411410060767,0.18081468922743774,25,25,25
natural_language,Sydney public transport passenger data,51,100,50,0.611921489238739,0.5746664917469024,0.577232837677002,0.511104941368103,0.8093673668258655,0.8129818400510134,0.1899379938840866,0.06718911297619343,0.05609023943543434,0.010976232588291168,0.2657905106990909,0.22188495612467307,50,50,50
natural_language,Sydney public transport passenger data,101,200,100,0.5897688865661621,0.5477138668298721,0.5549955368041992,0.46706774830818176,0.7714069578383345,0.781662551539823,0.18184170126914978,0.05399870493449271,0.0473175011575222,0.005940682254731655,0.21361114510789397,0.18718125959065415,100,100,100
natural_language,Sydney public transport passenger data,201,300,100,0.5561351776123047,0.5208199614286423,0.5295705497264862,0.38445383310317993,0.7335292501402769,0.745853686505574,0.08978325873613358,0.04472389864735305,0.05188678205013275,0.0,0.17692133941619737,0.20525668056555033,100,100,100
natural_language,Sydney public transport passenger data,301,500,200,0.5392457246780396,0.4916861878335476,0.5083752274513245,0.27812275290489197,0.6924968844829664,0.7160019334884019,0.06564891338348389,0.034390033293748276,0.03196559473872185,0.0,0.13604204769517925,0.1264513159061264,197,200,200
natural_language,Sydney public transport passenger data,501,750,250,0.510991096496582,0.46565174114704133,0.48287130892276764,0.3010603189468384,0.6558296490271948,0.6800819004263547,0.05359844118356705,0.030655216756276787,0.03196559473872185,0.0,0.12126764822939548,0.1264513159061264,242,250,250
natural_language,Sydney public transport passenger data,751,1000,250,0.48709502816200256,0.4307491639256477,0.45566578209400177,0.2246103733778,0.6066724292713623,0.6417653012706022,0.050709642469882965,0.030335464055649936,0.03196559473872185,0.0,0.1200027523283715,0.1264513159061264,220,247,250
natural_language,bushfire risk management plans,1,10,10,0.5840848684310913,0.5424446791410447,0.5548228323459625,0.48495590686798096,0.9287086662561619,0.9499010543386794,0.10882128775119781,0.05582687710411847,0.061766527593135834,0.007293169852346182,0.20588482314383028,0.22778975413588265,10,10,10
natural_language,bushfire risk management plans,11,25,15,0.5255694389343262,0.4900615572929382,0.4965243339538574,0.41636407375335693,0.8390245729345654,0.8500893633618176,0.1163947805762291,0.0536666689440608,0.04721599072217941,0.0,0.19791815730010318,0.17412859904856645,15,15,15
natural_language,bushfire risk management plans,26,50,25,0.4910231828689575,0.448700532913208,0.46355170011520386,0.38155990839004517,0.7682111918400852,0.7936375776355048,0.11568992584943771,0.04869164899922907,0.04720938205718994,0.0,0.17957070255051366,0.1741042268484157,25,25,25
natural_language,bushfire risk management plans,51,100,50,0.45206594467163086,0.4144518113136291,0.4259045124053955,0.2881559431552887,0.7095746418271149,0.7291825818898825,0.27115586400032043,0.047918161265552046,0.054202042520046234,0.0,0.17671814490242932,0.19989256997953836,50,50,50
natural_language,bushfire risk management plans,101,200,100,0.4190182685852051,0.37504184126853946,0.3879770338535309,0.2044869065284729,0.6421016217659229,0.6642477058097309,0.27107781171798706,0.05837689439184032,0.07090197503566742,0.0,0.21528907223548496,0.26148051526403143,100,100,100
